level,QRCode,Phase,Message
info,12001,数据帧,C1 09 0E 20 00 F0 2C F8 05 20 04 F0 A4 FB 38 BD 54 00 00 20 4F 00 00 20 10 B5 02 22 04 49 08 20 00 F0 43 F8 BD E8 10 40 0A 20 04 F0 94 BB 00 00 5C 00 00 20 08 B5 00 20 00 90 08 48 02 22 40 89 01 0A 8D F8 00 10 8D F8 01 00 69 46 06 20 00 F0 2C F8 0A 20 04 F0 7F FB 08 BD 00 00 54 00 00 20 70 B5 0D 46 04 46 FF 28 01 D9 01 20 70 BD 00 F0 05 F9 A0 20 00 F0 D6 F8 00 F0 44 F9 50 B9 E0 B2
info,12001,数据帧,00 F0 D0 F8 00 F0 3E F9 28 46 00 F0 CB F8 00 F0 39 F9 18 B1 00 F0 12 F9 02 20 70 BD 00 F0 0E F9 05 20 04 F0 58 FB 00 20 70 BD 70 B5 15 46 0E 46 04 46 FF 28 0C D8 5E B1 55 B1 04 F0 07 00 C0 F1 08 00 85 42 00 D9 05 46 60 19 B0 F5 80 7F 01 D9 01 20 70 BD 00 F0 D2 F8 A0 20 00 F0 A3 F8 00 F0 11 F9 68 B9 E0 B2 00 F0 9D F8 00 F0 0B F9 38 B9 00 24 0B E0 30 5D 00 F0 95 F8 00 F0 03 F9 18 B1
info,12001,数据传输,[固件升级] 发送数据帧 16/117（256 字节）
info,12001,数据帧,00 F0 DC F8 02 20 70 BD 64 1C A4 B2 AC 42 F1 D3 00 F0 D4 F8 0A 20 04 F0 1E FB 00 20 70 BD 00 00 70 B5 0D 4C 00 25 C4 F8 B0 52 0C 48 01 68 21 F0 40 61 01 60 01 68 41 F0 80 61 01 60 C4 F8 B4 52 02 20 04 F5 2C 74 04 F0 13 FB 01 20 20 60 02 20 04 F0 0E FB 25 60 70 BD 00 80 40 42 00 04 02 40 03 48 01 21 C0 F8 B4 12 C0 F8 B0 12 70 47 00 00 00 80 40 42 70 B5 0F 4C 00 26 C4 F8 B0 62 0E 48
info,12001,数据帧,01 68 21 F0 40 61 01 60 01 68 41 F0 80 61 01 60 01 25 C4 F8 B4 52 02 20 04 F5 2C 74 04 F0 E8 FA 25 60 02 20 04 F0 E4 FA 26 60 BD E8 70 40 02 20 04 F0 DE BA 00 80 40 42 00 04 02 40 2D E9 F0 47 81 46 16 48 00 24 01 68 21 F0 40 61 01 60 01 68 01 60 13 4E 25 46 27 46 4F F0 01 08 C6 F8 B0 72 02 20 04 F0 C5 FA C6 F8 B0 82 60 06 04 0E D6 F8 34 02 08 B1 64 1C E4 B2 02 20 04 F0 B9 FA 6D 1C
info,12001,数据传输,[固件升级] 发送数据帧 17/117（256 字节）
info,12001,数据帧,ED B2 08 2D EA D3 B9 F1 00 0F 04 D0 FF F7 88 FF 20 46 BD E8 F0 87 FF F7 AD FF F9 E7 00 04 02 40 00 80 40 42 2D E9 F0 41 05 46 12 48 01 68 21 F0 40 61 01 60 01 68 41 F0 80 61 01 60 0E 4E 00 27 C6 F8 B0 72 3C 46 4F F0 01 08 E8 09 C6 F8 B4 02 68 06 05 0E 02 20 04 F0 8B FA C6 F8 B0 82 02 20 04 F0 86 FA C6 F8 B0 72 64 1C E4 B2 08 2C EC D3 BD E8 F0 81 00 04 02 40 00 80 40 42 0D 48 10 B5
info,12001,数据帧,01 68 21 F0 40 61 01 60 01 68 41 F0 80 61 01 60 09 4C 01 20 C4 F8 B4 02 C4 F8 B0 02 02 20 04 F5 2C 74 04 F0 65 FA 00 20 60 60 BD E8 10 40 02 20 04 F0 5E BA 00 04 02 40 00 80 40 42 70 B5 0F 48 01 68 21 F0 40 61 01 60 01 68 41 F0 80 61 01 60 0B 4C 00 20 C4 F8 B0 02 C4 F8 B4 02 02 20 04 F5 2C 74 04 F0 45 FA 01 25 25 60 02 20 04 F0 40 FA 65 60 BD E8 70 40 02 20 04 F0 3A BA 00 04 02 40
info,12001,数据传输,[固件升级] 发送数据帧 18/117（256 字节）
info,12001,数据帧,00 80 40 42 70 B5 12 48 00 24 01 68 21 F0 40 61 01 60 01 68 01 60 0F 4D 01 26 C5 F8 B4 62 02 20 04 F0 26 FA C5 F8 B0 62 02 20 08 E0 64 1C E4 B2 FA 2C 03 D9 FF F7 C2 FF 01 20 70 BD 01 20 04 F0 17 FA D5 F8 34 02 00 28 F0 D1 C5 F8 B0 02 70 BD 00 04 02 40 00 80 40 42 10 B5 04 46 FF F7 8E FF 20 46 FF F7 5F FF FF F7 CD FF 04 46 FF F7 A6 FF 20 46 10 BD 70 B5 16 4C 40 F0 80 00 13 4D 22 78
